alpha,max_thickness,chord_at_max_thickness,max_camber,chord_at_max_camber,reynolds_no,CL,CD
11.75,24.0,29.4,4.0,40.0,1000000,1.3033,0.02528
-6.0,24.0,29.4,4.0,40.0,200000,-0.2094,0.01968
-1.75,15.0,30.0,0.0,0.0,50000,-0.3985,0.02859
-0.75,10.0,30.0,0.0,0.0,1000000,-0.0786,0.00478
3.75,12.0,30.0,0.0,0.0,200000,0.5138,0.01153
1.5,14.0,29.5,2.0,39.6,1000000,0.404,0.00617
3.75,24.0,30.0,0.0,0.0,1000000,0.3876,0.0092
9.0,15.0,30.9,4.0,40.2,50000,0.6783,0.09154
-7.75,21.0,30.0,4.0,40.0,1000000,-0.3613,0.01054
9.0,15.0,30.9,4.0,40.2,200000,1.2622,0.01881
1.25,24.0,30.0,0.0,0.0,1000000,0.1304,0.00877
-7.75,12.2,22.5,0.0,0.0,100000,-0.8377,0.0319
-8.25,12.0,29.9,1.0,40.0,50000,-0.7049,0.05918
3.75,15.0,30.0,2.0,40.0,200000,0.732,0.01262
10.5,15.0,29.5,2.0,39.6,200000,1.1787,0.02479
10.5,24.0,29.7,2.0,40.0,1000000,1.1612,0.01883
8.0,14.0,29.5,2.0,39.6,1000000,1.0966,0.01192
7.5,12.0,30.0,4.0,40.0,1000000,1.2614,0.01149
10.0,9.0,29.3,6.0,39.6,50000,1.0076,0.10304
-8.75,10.0,29.9,1.0,50.0,200000,-0.792,0.03563
-11.0,15.0,30.0,2.0,40.0,100000,-0.6583,0.06811
17.0,21.0,30.0,4.0,40.0,1000000,1.5758,0.06348
0.25,18.0,30.0,0.0,0.0,1000000,0.0273,0.00717
-8.75,12.0,30.1,6.0,39.6,50000,-0.3583,0.13182
-7.5,12.0,30.0,0.0,0.0,50000,-0.8044,0.03756
2.5,12.0,30.1,6.0,39.6,200000,0.9299,0.01261
1.0,12.0,30.0,0.0,0.0,200000,0.1454,0.01034
-18.5,18.0,30.0,0.0,0.0,200000,-1.1463,0.0906
-6.5,18.0,30.0,2.0,40.0,50000,-0.7501,0.04297
-8.5,12.2,22.5,0.0,0.0,100000,-0.889,0.03661
